Complexity|MSE|Equation
1|0.23227374|x0
3|0.21186484|(x1 + x0)
5|0.19952665|((x0 + x1) + x1)
6|0.19888845|(x0 + sin(x1 + x1))
7|0.1952592|(x0 + ((x1 + x1) + x1))
8|0.1886547|sin(x0 + ((x1 + x1) + x1))
9|0.1654936|sin((x0 + x1) + sin(7.477574 * x1))
10|0.16487858|sin((sin(x0) + x1) + sin(7.598589 * x1))
