Complexity|MSE|Equation
2|0.0031177853|sin(x1)
3|0.0022590426|(x1 * 0.056785576)
5|0.0022309436|((x1 * x0) * x0)
6|0.002229995|((sin(x1) * x0) * x0)
7|0.0022294|((sin(sin(x1)) * x0) * x0)
8|0.0022289841|((sin(sin(sin(x1))) * x0) * x0)
9|0.0022286759|(sin(sin(sin(sin(x1)))) * (x0 * x0))
10|0.0022284393|(sin(sin(sin(sin(sin(x1))))) * (x0 * x0))
